[0]	train-error:0.168587	eval-error:0.140836
[1]	train-error:0.167328	eval-error:0.139971
[2]	train-error:0.166107	eval-error:0.137748
[3]	train-error:0.165665	eval-error:0.136858
[4]	train-error:0.165048	eval-error:0.136963
[5]	train-error:0.164777	eval-error:0.136462
[6]	train-error:0.164513	eval-error:0.136676
[7]	train-error:0.164271	eval-error:0.136487
[8]	train-error:0.164040	eval-error:0.136729
[9]	train-error:0.163734	eval-error:0.136201
[10]	train-error:0.163503	eval-error:0.135703
[11]	train-error:0.163251	eval-error:0.135800
[12]	train-error:0.163033	eval-error:0.135956
[13]	train-error:0.162992	eval-error:0.135719
[14]	train-error:0.162757	eval-error:0.135887
[15]	train-error:0.162546	eval-error:0.135968
[16]	train-error:0.162368	eval-error:0.136107
[17]	train-error:0.162178	eval-error:0.136356
[18]	train-error:0.161957	eval-error:0.136071
[19]	train-error:0.161862	eval-error:0.135871
[20]	train-error:0.161644	eval-error:0.135638
[21]	train-error:0.161543	eval-error:0.135676
[22]	train-error:0.161296	eval-error:0.135753
[23]	train-error:0.161145	eval-error:0.135865
[24]	train-error:0.161015	eval-error:0.135669
[25]	train-error:0.160901	eval-error:0.135678
[26]	train-error:0.160732	eval-error:0.135653
[27]	train-error:0.160558	eval-error:0.135836
[28]	train-error:0.160451	eval-error:0.135704
[29]	train-error:0.160371	eval-error:0.135455
[30]	train-error:0.160181	eval-error:0.135330
[31]	train-error:0.160060	eval-error:0.135534
[32]	train-error:0.159888	eval-error:0.135638
[33]	train-error:0.159734	eval-error:0.135047
[34]	train-error:0.159552	eval-error:0.135216
[35]	train-error:0.159385	eval-error:0.135800
[36]	train-error:0.159202	eval-error:0.135644
[37]	train-error:0.159022	eval-error:0.135532
[38]	train-error:0.158933	eval-error:0.135857
[39]	train-error:0.158791	eval-error:0.135695
[40]	train-error:0.158637	eval-error:0.135738
[41]	train-error:0.158461	eval-error:0.136190
[42]	train-error:0.158277	eval-error:0.136141
[43]	train-error:0.158220	eval-error:0.136265
[44]	train-error:0.158058	eval-error:0.136293
[45]	train-error:0.157951	eval-error:0.136028
[46]	train-error:0.157848	eval-error:0.136397
[47]	train-error:0.157736	eval-error:0.136450
[48]	train-error:0.157583	eval-error:0.136614
[49]	train-error:0.157416	eval-error:0.136769
[0]	train-error:0.173841	eval-error:0.151442
[1]	train-error:0.171526	eval-error:0.149065
[2]	train-error:0.171013	eval-error:0.149181
